Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.F2.160914.C4.10,16/09/2014,259,2014,September,Late,55.44488333,-5.094383333,3,2,3,3,Algae,10.6,13:23,14:26,01:03,3780,0.92,0,0,0,0,0,0.151446834,231.5237348,1
SA.F2.160914.C4.2,16/09/2014,259,2014,September,Late,55.42645,-5.2232,4,2,2,2,Pebble,24.8,08:47,09:51,01:04,3840,0,0.25,0.18,0.21,0,0,0.128838167,1058.877034,3
SA.F2.160914.C4.5,16/09/2014,259,2014,September,Late,55.42511667,-5.1998,4,2,3,3,Pebble,24.1,10:11,11:17,01:06,3960,0,0.5,0.23,0.09,0,0,0.16105631,961.0637191,3
SA.F2.160914.C4.9,16/09/2014,259,2014,September,Late,55.42686667,-5.17995,4,2,3,3,Gravel,23.5,11:43,12:48,01:05,3900,0,0,0.85,0,0,0,0.185587838,797.2215407,1
SA.F2.170914.C2.10,17/09/2014,260,2014,September,Late,55.50441667,-5.078916667,2,2,2,3,Sand,12.8,12:59,13:53,00:54,3240,0.04,0,0.09,0.78,0,0,0.076566949,70.95616681,3
SA.F2.170914.C2.2,17/09/2014,260,2014,September,Late,55.46965,-5.074083333,2,2,1,2,Sand,28.9,08:45,09:50,01:05,3900,0.07,0.06,0,0.59,0,0,0.141162172,497.0497816,3
SA.F2.170914.C2.5,17/09/2014,260,2014,September,Late,55.46873333,-5.07895,2,2,3,3,Seagrass,5.1,09:57,11:02,01:05,3900,0,0,0,0.09,0,0.83,0.105447002,178.9773839,2
SA.F2.170914.C2.9,17/09/2014,260,2014,September,Late,55.49883333,-5.086566667,2,2,3,3,Seagrass,4.9,11:39,12:50,01:11,4260,0.18,0,0,0.22,0,0.63,0.069139525,148.2721824,3
SA.F2.180914.C1.11,18/09/2014,261,2014,September,Late,55.53513333,-5.06155,1,2,2,3,Sand,30.4,12:25,13:29,01:04,3840,0.02,0.05,0,0.75,0,0,0.117025748,738.9543143,3
SA.F2.180914.C1.2,18/09/2014,261,2014,September,Late,55.56195,-5.08825,1,2,1,2,Gravel,21.7,08:09,09:12,01:03,3780,0,0.08,0.52,0,0,0,0.113399222,375.3171143,2
SA.F2.180914.C1.6,18/09/2014,261,2014,September,Late,55.53815,-5.084283333,1,2,3,3,Gravel,10.8,09:39,10:45,01:06,3960,0.15,0.26,0.43,0,0,0,0.086809486,119.0373663,3
SA.F2.180914.C1.7,18/09/2014,261,2014,September,Late,55.53295,-5.090866667,1,2,2,3,Sand,14.6,10:54,11:57,01:03,3780,0.14,0.07,0,0.62,0,0,0.050445613,110.7780314,3
SA.F2.260814.C1.12,26/08/2014,238,2014,August,Late,55.56753333,-5.0982,1,2,2,2,Gravel,25.8,13:12,14:15,01:03,3780,0,0.06,0.39,0.15,0,0,0.08624123,263.7264714,3
SA.F2.260814.C1.2,26/08/2014,238,2014,August,Late,55.54555,-5.0899,1,2,2,3,Algae,15,08:48,09:50,01:02,3720,0.72,0,0,0.15,0,0,0.077716105,303.3709196,2
SA.F2.260814.C1.5,26/08/2014,238,2014,August,Late,55.53473333,-5.0928,1,2,2,3,Gravel,16.6,10:08,11:09,01:01,3660,0.02,0.03,0.37,0.37,0,0,0.086006962,229.3985578,4
